Origin,Destination,Distance
Agra,Delhi,240
Agra,Lucknow,334
Agra,Kanpur,277
Ahmedabad,Mumbai,526
Ahmedabad,Pune,663
Ahmedabad,Jaipur,660
Ahmedabad,Udaipur,258
Bengaluru,Pune,839
Bengaluru,Hyderabad,576
Bengaluru,Chennai,346
Bengaluru,Goa,562
Bhubaneswar,Kolkata,442
Bhubaneswar,Vishakhapatnam,444
Bhubaneswar,Patna,831
Chennai,Hyderabad,626
Chennai,Bengaluru,345
Chennai,Kochi,690
Chennai,Mumbai,1335
Chennai,Kolkata,1666
Delhi,Jaipur,307
Delhi,Agra,243
Delhi,Lucknow,548
Delhi,Chennai,2208
Delhi,Bengaluru,2174
Delhi,Mumbai,1452
Delhi,Hyderabad,1582
Goa,Hyderabad,674
Goa,Kochi,755
Goa,Mumbai,585
Goa,Pune,442
Goa,Thiruvananthapuram,1305
Hyderabad,Pune,562
Hyderabad,Bengaluru,576
Hyderabad,Chennai,627
Hyderabad,Goa,674
Hyderabad,Mumbai,708
Hyderabad,Delhi,1583
Hyderabad,Kolkata,1489
Jaipur,Ahmedabad,659
Jaipur,Udaipur,397
Jaipur,Delhi,308
Jaipur,Mumbai,1170
Jaipur,Pune,1191
Kanpur,Agra,301
Kanpur,Lucknow,115
Kanpur,Varanasi,328
Kochi,Chennai,690
Kochi,Bengaluru,547
Kochi,Goa,754
Kochi,Thiruvananthapuram,206
Kochi,Bengaluru,547
Kolkata,Varanasi,680
Kolkata,Patna,554
Kolkata,Bhubaneswar,442
Kolkata,Chennai,1668
Kolkata,Delhi,1563
Lucknow,Delhi,553
Lucknow,Agra,333
Lucknow,Kanpur,89
Mumbai,Pune,148
Mumbai,Ahmedabad,526
Mumbai,Delhi,1453
Mumbai,Hyderabad,713
Mumbai,Bengaluru,984
Mumbai,Kolkata,1886
Mumbai,Chennai,1338
Patna,Varanasi,256
Patna,Kolkata,578
Pune,Mumbai,150
Pune,Ahmedabad,660
Pune,Hyderabad,560
Pune,Bengaluru,842
Thiruvananthapuram,Kochi,206
Thiruvananthapuram,Goa,1305
Udaipur,Ahmedabad,257
Udaipur,Jaipur,397
Udaipur,Mumbai,767
Udaipur,Delhi,688
Varanasi,Kanpur,328
Varanasi,Patna,259
Varanasi,Kolkata,683
Varanasi,Lucknow,312
Vishakhapatnam,Bhubaneswar,441
Vishakhapatnam,Hyderabad,618
Vishakhapatnam,Kolkata,882
Delhi,Agra,240
Lucknow,Agra,334
Kanpur,Agra,277
Mumbai,Ahmedabad,526
Pune,Ahmedabad,663
Jaipur,Ahmedabad,660
Udaipur,Ahmedabad,258
Pune,Bengaluru,839
Hyderabad,Bengaluru,576
Chennai,Bengaluru,346
Goa,Bengaluru,562
Kolkata,Bhubaneswar,442
Vishakhapatnam,Bhubaneswar,444
Patna,Bhubaneswar,831
Hyderabad,Chennai,626
Bengaluru,Chennai,345
Kochi,Chennai,690
Mumbai,Chennai,1335
Kolkata,Chennai,1666
Jaipur,Delhi,307
Agra,Delhi,243
Lucknow,Delhi,548
Chennai,Delhi,2208
Bengaluru,Delhi,2174
Mumbai,Delhi,1452
Hyderabad,Delhi,1582
Hyderabad,Goa,674
Kochi,Goa,755
Mumbai,Goa,585
Pune,Goa,442
Thiruvananthapuram,Goa,1305
Pune,Hyderabad,562
Bengaluru,Hyderabad,576
Chennai,Hyderabad,627
Goa,Hyderabad,674
Mumbai,Hyderabad,708
Delhi,Hyderabad,1583
Kolkata,Hyderabad,1489
Ahmedabad,Jaipur,659
Udaipur,Jaipur,397
Delhi,Jaipur,308
Mumbai,Jaipur,1170
Pune,Jaipur,1191
Agra,Kanpur,301
Lucknow,Kanpur,115
Varanasi,Kanpur,328
Chennai,Kochi,690
Bengaluru,Kochi,547
Goa,Kochi,754
Thiruvananthapuram,Kochi,206
Bengaluru,Kochi,547
Varanasi,Kolkata,680
Patna,Kolkata,554
Bhubaneswar,Kolkata,442
Chennai,Kolkata,1668
Delhi,Kolkata,1563
Delhi,Lucknow,553
Agra,Lucknow,333
Kanpur,Lucknow,89
Pune,Mumbai,148
Ahmedabad,Mumbai,526
Delhi,Mumbai,1453
Hyderabad,Mumbai,713
Bengaluru,Mumbai,984
Kolkata,Mumbai,1886
Chennai,Mumbai,1338
Varanasi,Patna,256
Kolkata,Patna,578
Mumbai,Pune,150
Ahmedabad,Pune,660
Hyderabad,Pune,560
Bengaluru,Pune,842
Kochi,Thiruvananthapuram,206
Goa,Thiruvananthapuram,1305
Ahmedabad,Udaipur,257
Jaipur,Udaipur,397
Mumbai,Udaipur,767
Delhi,Udaipur,688
Kanpur,Varanasi,328
Patna,Varanasi,259
Kolkata,Varanasi,683
Lucknow,Varanasi,312
Bhubaneswar,Vishakhapatnam,441
Hyderabad,Vishakhapatnam,618
Kolkata,Vishakhapatnam,882
